humidity,sampleTime,rain10,lighting,pressure,rain,temperature,stationID,wind
50.0,2024-05-27 16:06:21.965538,0,12.63551401869159,1010.84,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:06:43.473276,0,13.30841121495327,1010.77,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:06:55.144603,0,12.485981308411215,1010.79,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:07:18.048768,0,12.336448598130842,1010.79,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:07:38.520299,0,12.261682242990654,1010.79,0.0,25.8,stazione,0.0
50.0,2024-05-27 16:08:11.139536,0,13.457943925233645,1010.81,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:08:24.416859,0,12.85981308411215,1010.76,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:08:54.544303,0,11.36448598130841,1010.84,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:09:21.434494,0,13.457943925233645,1010.83,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:09:45.801375,0,13.158878504672897,1010.81,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:10:10.898586,0,10.841121495327103,1010.8,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:10:35.202999,0,9.869158878504672,1010.86,0.0,25.9,stazione,0.0
50.0,2024-05-27 16:39:07.310749,0,9.42056074766355,1010.71,0.0,26.0,stazione,0.0
51.0,2024-05-27 16:39:43.153585,0,9.495327102803738,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:39:46.364374,0,9.869158878504672,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:39:51.692514,0,9.869158878504672,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:39:54.743744,0,9.869158878504672,1010.75,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:39:57.868260,0,9.869158878504672,1010.62,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:03.234338,0,9.94392523364486,1010.74,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:06.345627,0,9.94392523364486,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:09.408551,0,10.467289719626168,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:12.462574,0,10.542056074766355,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:15.443716,0,9.271028037383177,1010.73,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:18.449479,0,11.14018691588785,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:21.409001,0,11.289719626168225,1010.68,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:24.380601,0,11.36448598130841,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:27.374893,0,11.36448598130841,1010.68,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:30.341439,0,11.36448598130841,1010.76,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:33.337048,0,11.36448598130841,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:36.317653,0,11.588785046728972,1010.72,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:39.315529,0,11.738317757009346,1010.74,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:42.325506,0,11.738317757009346,1010.72,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:45.310669,0,11.663551401869158,1010.7,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:48.300101,0,12.037383177570094,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:51.282888,0,12.037383177570094,1010.69,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:54.298099,0,12.037383177570094,1010.8,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:40:57.266188,0,11.065420560747663,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:00.291538,0,9.869158878504672,1010.74,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:03.263874,0,11.289719626168225,1010.76,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:06.224035,0,11.214953271028037,1010.68,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:09.214351,0,11.289719626168225,1010.65,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:12.350266,0,9.869158878504672,1010.71,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:15.299692,0,10.093457943925234,1010.68,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:18.279045,0,11.439252336448599,1010.68,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:21.231255,0,10.990654205607477,1010.7,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:24.222711,0,10.990654205607477,1010.73,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:27.197716,0,10.990654205607477,1010.79,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:30.142385,0,11.065420560747663,1010.68,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:33.246272,0,11.065420560747663,1010.73,0.0,25.9,stazione,0.0
51.0,2024-05-27 16:41:36.226243,0,11.065420560747663,1010.77,0.0,25.9,stazione,0.0
